Horodateur,1.	Répondez-vous en tant que ,Nom de votre institution,2.	Avez-vous une politique écrite pour votre service sur la question des permaliens ou des identifiants ? ,3.	Avez-vous un budget spécifique identifié pour les permaliens et les identifiants pérennes ? ,"4.	Avez-vous des ressources non financières (personnes, projets, axes stratégiques, « priorités » de service) identifiées pour les permaliens et les identifiants pérennes ? ","5.	Aujourd’hui, les nouvelles ressources numériques que votre institution met à disposition des publics internes ou externes (numérisations, ouvrages, inventaires) reçoivent-elles systématiquement des ARKs ?","6.	La différence entre « permalien » et « identifiant pérenne » est-elle bien maîtrisée dans votre institution ? Par exemple sait-on l’expliquer à un lecteur en salle de lecture, ou à un usager des ressources numériques à distance ?",7.	Savez-vous ce qu’est un « résolveur » d’identifiants pérennes ?,8.	Quels sont les niveaux de description ou d’accès aux ressources numériques qui disposent d’ARKs dans votre institution ,"9.	A combien estimez-vous le nombre d’ARKs générés par an pour identifier vos ressources ? (500, 5000, 50 000…) ","10.	Combien d’ARKs supplémentaires seront-ils selon vous nécessaires pour identifier vos ressources d’ici les cinq prochaines années ? (100 000, 1M, 10 M…)",11.	Résolution des permaliens ARK : disposez vous :,Adresse de votre résolveur local,"12.	Informez-vous vos publics des principes et du fonctionnement de vos ARKs (ex : fiche, formations, ateliers, avertissements particulier) ? ",13.	Vos publics sont-ils satisfaits de votre système de permaliens ou identifiants pérennes ? ,"14.	Procédez-vous vous-même à la génération et à la maintenance de vos ARKs ou recourez-vous aux services d’un prestataire extérieur (EZID, NOID, ArchiSpace …) ? ",Nom du prestataire éventuel,"15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Sont-ils suivis de qualificatifs tiers (composantes, variantes…) ?]","15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Parmi ces qualificatifs, y-a-t-il une indication de pagination ?]",16.	A quel niveau dans la chaine de réalisation d’un projet décidez-vous de la création d’un ARK ou d'un ensemble d'ARKs pour des ressources  numériques ?,17.	Disposez-vous d’une page ‘.policy’ explicative de la méthodologie et de votre engagement vis-à-vis de la maintenance de vos ARKs ?,18.	Vos ARKs disposent-ils de métadonnées  ?,19.	Utilisez-vous des inflexions (ex : ‘ ?info’) pour caractériser une ressource ?,"20.	 Existe-t-il une redirection automatique de vos URLs incluant des ARKs (par exemple en cas de fusion de deux notices, de renumérisation d'une ressource existante, de passage du protocole 'http' à 'https', de changement de nom/site web de l’institution...) ?","21.	Si vous avez déployé un résolveur local, assurez-vous la maintenance de vos tables de correspondance URLs-ARKs ou avez-vous recours au service d’un prestataire extérieur ? Si oui lequel ?",Nom du prestataire,22.	Quels seraient selon-vous les points à améliorer pour rendre plus performante l'utilisation de vos ARKs dans votre institution ? 
2021/05/31 11:08:53 AM UTC+2,Entreprise dans le secteur du numérique scolaire,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",15,100,d’un résolveur local ? Quel est-il ?,c'est un site propriétaire,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,c'est une demande GAR (gestionnaire d'accès aux ressource) par le Ministère,Non,Je ne sais pas,Oui,Non,Nous assurons la maintenance de nos tables de correspondance,,pas d'avis nous utilisons les ARK pour être conforme au dispositif GAr du Ministère
2021/05/31 11:09:00 AM UTC+2,informatique pour le service des musées,Anonyme,Non,Non,Non,Je ne sais pas,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",5000,???,d’un résolveur global (ex : http://n2t.net) ?,hébergement en saas,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Decalog,Je ne sais pas,Je ne sais pas,je ne sais pas,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,decalog,une formation
2021/05/31 11:12:14 AM UTC+2,EDITEUR DE RESSOURCE NUMERIQUE,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",1,0,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,obligation du GAR,Non,Non,Non,Je ne sais pas,Je ne sais pas,,je ne sais pas
2021/05/31 11:13:34 AM UTC+2,association,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore",??,0,0,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Non, un changement radical est demandé",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,??,Non,Non,Non,Non,Je ne sais pas,,??
2021/05/31 11:18:21 AM UTC+2,Ministère,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Vocabulaires contrôlés, ressources multimédia",Je ne sais pas,1 million,d’un résolveur local ? Quel est-il ?,Ne sais pas,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,En phase de cadrage.,Non,Non,Non,Non,Je ne sais pas,,Avoir une vraie politique d'identification pérenne des ressources.
2021/05/31 11:20:56 AM UTC+2,entreprise,Anonyme,Non,Non,Non,Je ne sais pas,La question se pose différemment,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",1,10,d’un résolveur local ? Quel est-il ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,,Oui,Non,?,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,?
2021/05/31 11:21:52 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Oui,Je ne sais pas,Non,"Non, pas vraiment ou pas encore",Instruments de recherche ou équivalent,entre 100 et 1000 ,5000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,,Je ne sais pas,Je ne sais pas,Au moment de la création d'un instrument de recherche,Non,Oui,Oui,Je ne sais pas,Je ne sais pas,,Une formation collective puis la rédaction d'informations à destination du public
2021/05/31 11:22:16 AM UTC+2,Un autre service d’Archives,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",31924,15000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,,Oui,Non,Automatique pour tout contenu numérique,Non,Je ne sais pas,Non,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,,?
2021/05/31 11:34:19 AM UTC+2,Pôle ressources ( Médiathèque spécialisée avec de nombreux services en ligne ),Anonyme,Non,Non,Oui,Système en cours de développement,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Système en cours de définition. A terme, tout objet géré par le Pôle ( Documents physiques, documents numériques, Oeuvres musicales, Objets du Musée, fonds d'archive du Musée)",5000,Difficile à estimer.,d’un résolveur local ? Quel est-il ?,En cours de définition,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,en amont,Non,Non,Non,Oui,Nous assurons la maintenance de nos tables de correspondance,,En cours de développement. . .
2021/05/31 11:37:44 AM UTC+2,un musée,Anonyme,Non,Non,Oui,Oui,Non,"Non, pas vraiment ou pas encore",chaque item des collections publié (plus de 309 000 au 31/5/21),70000,500000,d’un résolveur local ? Quel est-il ?,je ne sais pas ce qu'est un résolveur...,Oui,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,les ark sont générés par notre outil Flora (Decalog) dès qu'une notice est publiée sur le portail,Je ne sais pas,Je ne sais pas,dès le début du projet,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Plus d'informations claires ou une formation 
2021/05/31 11:37:51 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Je ne sais pas,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",50000,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Naoned,Je ne sais pas,Non,Au moment de la mise en ligne.,Non,Non,Non,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,,Besoin en formation.
2021/05/31 11:41:58 AM UTC+2,Une bibliothèque universitaire,Anonyme,Non,Non,Non,Non,Non,"Non, pas vraiment ou pas encore","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",1000,Je n'ai pas de visibilité,d’un résolveur local ? Quel est-il ?,en cours de migration,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,Flora (ancien SIGB),Non,Non,Systématique à la création d'une notice pour un type de document,Non,Je ne sais pas,Non,Non,Je ne sais pas,Anciennement Ever (logiciel plus sous maintenance),"Nous sommes en cours de migration, la question est à se reposer avec les partenaires de l'application partagée"
2021/05/31 11:45:38 AM UTC+2,Une bibliothèque de recherche,Anonyme,Non,Non,Oui,Le projet est en train de se réaliser,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",500,je ne sais pas,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,?,Non,Oui,Non,Non,Je ne sais pas,,Une meilleure connaissance du fonctionnement
2021/05/31 11:57:31 AM UTC+2,Musée,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",Nous n'avons généré des ARK que pour les notices d'oeuvres de collections.louvre.fr ; actuellement il en existe environ 483 000.,"Si nous n'élargissons pas la politique d'attribution des ARK, nous aurons encore besoin d'environ 100 000 ARKs supplémentaires.",d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,Nous avons décidé d'implémenter les ARKs sur les notices en ligne de Collections.louvre.fr dès le départ du projet. Pour l'instant il n'y a pas de projet d'attribuer des ARKs à d'autres types de contenus.,Non,Non,Non,Non,Je ne sais pas,,rédiger une politique d'attribution des ARKS ; mettre en place une gouvernance ; 
2021/05/31 1:11:42 PM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore",Objet disposant d'une cote / notice autonome mais aussi ressources numérisées rattachées à cette notice,Plusieurs milliers mais variable selon le nombre et le volume des inventaires mis en ligne et les campagnes de numérisation,Je ne sais pas. Probablement plusieurs dizaines de milliers,d’un résolveur local ? Quel est-il ?,"Je ne sais pas. Nous avons mis en place les liens Ark avec notre prestataire, Naoned, pour que le portail FranceArchives puisse renvoyer les internautes vers les notices sur notre portail",Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Les liens Ark sont produits automatiquement sur notre portail Mnesys (Naoned),Je ne sais pas,Je ne sais pas,Les liens Ark sont créés systématiquement lors de la publication d'un inventaire ou de ressources numérisées,Non,Non,Non,Je ne sais pas,Je ne sais pas,,Nous avons une utilisation très minimale des ARK. Nous les avons mis en place pour permettre au portail FranceArchives de rediriger les internautes vers les notices des inventaires. Je ne sais pas exactement quels autres bénéfices nous pourrions tirer de leur utilisation.
2021/05/31 1:12:02 PM UTC+2,Programme spécifique (au sein d'une médiathèque),Anonyme,Non,Non,Non,Oui,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",500 en 2021,2000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,A la source. C'est prévu par le système de gestion et de mise en ligne de la bibliothèque numérique.,Non,Non,Je ne sais pas,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,,"Plus de formation sur le sujet, voir les possibilités chez notre prestataire (Bibliomondo)"
2021/05/31 1:19:40 PM UTC+2,Éditeur,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",3,10,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Début,Non,Non,Non,Oui,Nous assurons la maintenance de nos tables de correspondance,,Comprendre mieux les possibilités d'ARK
2021/05/31 1:32:38 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Oui,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Collections, fonds ou ensembles",25000,150000,d’un résolveur local ? Quel est-il ?,https://catalogue.bm-grenoble.fr/ark:/66349/pf,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,lors de la configuration initiale du projet,Non,Non,Non,Oui,Nous recourons aux services d'un prestataire extérieur,Bibliomondo,Meilleure information et formation des professionnels
2021/05/31 1:53:43 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Oui,Uniquement les ressources numériques patrimoniales,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",100,5000,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,A chaque mise en ligne de nouvelle ressource,Non,Je ne sais pas,Non,Non,Je ne sais pas,,Une fomration plus poussée sur les ARK
2021/05/31 1:54:44 PM UTC+2,Etablissement public de coopération culturelle / Réseau de musées,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",Difficile à dire. Il s'agit des notices d'oeuvres muséales mises en ligne par les musées membres du Réseau des musées de Normandie. Les collections qui disposent d'ARK en ligne ne sont donc pas la propriété de l'établissement,"Idem, c'est au compte-goutte en fonction de la mise en ligne de notices par les musées de la région normande",d’un résolveur global (ex : http://n2t.net) ?,qu'est-ce qu'un resolveur ?,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,Les arks sont générées automatiquement lors de la mise en ligne de ressources par les musées,Oui,Non,Le site Collections collections.musees-normandie.fr du Réseau des musées de Normandie est la seule ressource en ligne éditée par notre EPCC qui a mis en place actuellement des ARKs,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Une formation à l'adresse du plus grand nombre
2021/05/31 2:07:25 PM UTC+2,Enseignant-chercheur,Anonyme,Non,Non,Non,Non,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Collections, fonds ou ensembles",500,1M,d’un résolveur local ? Quel est-il ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,Après la publication,Non,Non,Non,Je ne sais pas,Nous assurons la maintenance de nos tables de correspondance,,Un ARK devrait être combiné avec un identifiant opaque et un identifiant non opaque caractérisé par des métadonnées. 
2021/05/31 2:25:29 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",Pas d'ARK mis en place à ce jour,0,150 000/200 000,d’un résolveur local ? Quel est-il ?,AUCUN,Non,"Non, un changement radical est demandé",Nous recourons aux services d'un prestataire,,Je ne sais pas,Je ne sais pas,A un niveau avancé du projet : nous disposons de ressources en ligne et nous n'avons pas encore étudier la question de la création d'ARK.,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Pas de réponse possible. 
2021/05/31 3:05:10 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",tout niveau de description de chaque inventaire,217776,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,naoned,Oui,Oui,origine,Non,Je ne sais pas,Je ne sais pas,Oui,Nous recourons aux services d'un prestataire extérieur,naoned,nsp
