Who,What,When,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location)
Bibliothèque nationale de France,12148,2005-07-17,http://ark.bnf.fr,False,NR,OP,CC,2005,http://ark.bnf.fr/ark:/12148/bpt6k2102478.policy,ARK,Anonyme,Anonyme,contact@email.com,,,,"Quai François Mauriac, 75706, Paris Cedex 13, France","Quai François Mauriac, 75706, Paris, France"
Centre de Musique Baroque de Versailles,13681,2008-09-19,https://www.cmbv.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France"
Centre Informatique National de l'Enseignement Supérieur,87895,2008-10-14,https://www.cines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"950 Rue de St - Priest, 34000, Montpellier, France","950 Rue de St - Priest, 34000, Montpellier, France"
Bibliothèque municipale de Toulouse,74899,2009-01-23,https://www.bibliotheque.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France"
Archives départementales de la Somme,58483,2009-10-21,https://archives.somme.fr/,False,NR,OP,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"53, rue de la République, B.P. 32615, 80026, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France"
Bibliothèque Cujas,45829,2009-10-28,http://biu-cujas.univ-paris1.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France"
Centre National d'Études Spatiales,68059,2010-02-02,https://www.cnes.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France"
Lo CIRDÒC - Institut occitan de cultura,64981,2010-06-21,https://www.locirdoc.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France"
Archives départementales du Doubs,25993,2010-08-23,https://archives.doubs.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France"
Archives départementales du Territoire de Belfort,12997,2010-08-23,https://archives.territoiredebelfort.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du département 6, place de la Révolution française 90020 Belfort cedex, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France"
