org_id,org_who,org_what,org_when,org_when_mmyyyy,org_field,org_area,org_where,org_where_resolver,org_where_collection,org_nfp,org_nr,org_op,org_cc,org_year,org_policy,org_why,org_ezid,org_contact_surname,org_contact_firstname,org_contact_email,org_provider_surname,org_provider_firstname,org_provider_email,org_address_postal,org_address_location,org_address_map,org_latitude,org_longitude,org_postcode,org_country
1,Bibliothèque nationale de France,12148,2005-07-17,2005-07-01,library,national,http://ark.bnf.fr,,,False,NR,OP,CC,2005,http://ark.bnf.fr/ark:/12148/bpt6k2102478.policy,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Quai François Mauriac, 75706, Paris Cedex 13, France","Quai François Mauriac, 75706, Paris, France","Quai François Mauriac, 75706, Paris, France",48.8326011,2.3792453,75706,France
2,Centre de Musique Baroque de Versailles,13681,2008-09-19,2008-09-01,research,,https://www.cmbv.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France",48.8008002,2.1336713,78000,France
3,Centre Informatique National de l'Enseignement Supérieur,87895,2008-10-14,2008-10-01,research,national,https://www.cines.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"950 Rue de St - Priest, 34000, Montpellier, France","950 Rue de St - Priest, 34000, Montpellier, France","350 rue Saint-Priest, 34090 Montpellier, France",43.630947,3.8462653,34000,France
4,Bibliothèque municipale de Toulouse,74899,2009-01-23,2009-01-01,library,municipal,https://www.bibliotheque.toulouse.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France",43.6102597,1.4557036,31500,France
5,Archives départementales de la Somme,58483,2009-10-21,2009-10-01,archives,departemental,https://archives.somme.fr/,,,False,NR,OP,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"53, rue de la République, B.P. 32615, 80026, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France",49.8836614,2.3042746,80000,France
6,Bibliothèque Cujas,45829,2009-10-28,2009-10-01,library,,http://biu-cujas.univ-paris1.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France",48.84734975,2.34546667818118,75005,France
7,Centre National d'Études Spatiales,68059,2010-02-02,2010-02-01,research,national,https://www.cnes.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France",48.8612924,2.3453532,75001,France
8,Lo CIRDÒC - Institut occitan de cultura,64981,2010-06-21,2010-06-01,research,régional,https://www.locirdoc.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1B boulevard Bertrand Duguesclin, 34500, Béziers, France",43.3455518,3.2229039,34500,France
9,Archives départementales du Doubs,25993,2010-08-23,2010-08-01,archives,departemental,https://archives.doubs.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France",47.2171945,5.9695238,25000,France
10,Archives départementales du Territoire de Belfort,12997,2010-08-23,2010-08-01,archives,departemental,https://archives.territoiredebelfort.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du département 6, place de la Révolution française 90020 Belfort cedex, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France",47.6375494,6.8624776,90000,France
