who,what,when,where,how_nfp,how_nr,how_op,how_cc,how_year,how_policy,why,contact (surname),contact (firstname),contact (current only),Provider (surname),Provider (firstname),Provider (mail),address (postal),address (location)
US National Library of Medicine,12025,2001-03-08,https://www.nlm.nih.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8600 Rockville Pike, Bethesda, MD 20894, USA","8600 Rockville Pike, Bethesda, MD 20894, USA"
Library of Congress,12026,2001-03-08,https://www.loc.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Independence Ave SE, Washington, DC 20540-4530, USA","101 Independence Ave SE, Washington, DC 20540-4530, USA"
US National Agricultural Library,10113,2001-03-08,https://www.nal.usda.gov/main,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,Anonyme,Anonyme,contact@email.com,,,,"10301 Baltimore Avenue, Beltsville, MD 20705, USA","10301 Baltimore Avenue, Beltsville, MD 20705, USA"
California Digital Library,13030,2002-07-12,http://n2t.net,False,NR,OP,CC,2002,https://n2t.net/e/ark_ids.html,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
World Intellectual Property Organization,13038,2002-07-12,https://www.wipo.int/portal/en/index.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2002,,ARK,Anonyme,Anonyme,contact@email.com,,,,"34, chemin des Colombettes, CH-1211 Geneva, Switzerland","34, chemin des Colombettes, CH-1211 Geneva, Switzerland"
University of California San Diego,20775,2004-06-02,http://libraries.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
University of California San Francisco,29114,2004-06-02,https://library.ucsf.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francsico, CA 94143, USA"
University of California Berkeley,28722,2004-06-02,https://www.lib.berkeley.edu,False,NR,OP,CC,2004,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Rutgers University,15230,2004-04-30,https://www.rutgers.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"169 College Avenue, New Brunswick, NJ 08901, USA","169 College Avenue, New Brunswick, NJ 08901, USA"
Internet Archive,13960,2004-08-29,http://n2t.net,False,NR,OP,CC,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"300 Funston Ave, San Francisco, CA 94118, USA","300 Funston Ave, San Francisco, CA 94118, USA"
