Who,What,When,when_yyyy_mm,Field,Area,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,EZID,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location),Address (map),Latitude,Longitude,Postcode,Country
US National Library of Medicine,12025,2001-03-08,2001-03-01,library,,https://www.nlm.nih.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"8600 Rockville Pike, Bethesda, MD 20894, USA","8600 Rockville Pike, Bethesda, MD 20894, USA","8600 Rockville Pike, Bethesda, MD 20894, USA",38.9958739,-77.09890095,,USA
Library of Congress,12026,2001-03-08,2001-03-01,library,,https://www.loc.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Independence Ave SE, Washington, DC 20540-4530, USA","101 Independence Ave SE, Washington, DC 20540-4530, USA","101 Independence Ave SE, Washington, DC 20540-4530, USA",38.8867409,-77.0047055237198,,USA
US National Agricultural Library,10113,2001-03-08,2001-03-01,library,,https://www.nal.usda.gov/main,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2001,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"10301 Baltimore Avenue, Beltsville, MD 20705, USA","10301 Baltimore Avenue, Beltsville, MD 20705, USA","10301 Baltimore Avenue, Beltsville, MD 20705, USA",39.02353,-76.923314,,USA
California Digital Library,13030,2002-07-12,2002-07-01,library,,http://n2t.net,False,NR,OP,CC,2002,https://n2t.net/e/ark_ids.html,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
World Intellectual Property Organization,13038,2002-07-12,2002-07-01,research,,https://www.wipo.int/portal/en/index.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2002,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"34, chemin des Colombettes, CH-1211 Geneva, Switzerland","34, chemin des Colombettes, CH-1211 Geneva, Switzerland","34, chemin des Colombettes, CH-1211 Geneva, Switzerland",46.2220647,6.13698640605049,,Switzerland
Rutgers University,15230,2004-04-30,2004-04-01,university,,http://libraries.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"169 College Avenue, New Brunswick, NJ 08901, USA","169 College Avenue, New Brunswick, NJ 08901, USA","169 College Avenue, New Brunswick, NJ 08901, USA",40.5049487,-74.4522777356593,,USA
University of California San Diego,20775,2004-06-02,2004-06-01,university,,https://library.ucsf.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,"EZID ARK, started as ARK",False,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Doctor, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of California San Francisco,29114,2004-06-02,2004-06-01,university,,https://www.lib.berkeley.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francisco, CA 94143, USA",37.7632358976912,-122.459004853967,,USA
University of California Berkeley,28722,2004-06-02,2004-06-01,university,,https://www.rutgers.edu/,False,NR,OP,CC,2004,,"EZID ARK, started as ARK",False,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Internet Archive,13960,2004-08-29,2004-08-01,archives,,http://n2t.net,False,NR,OP,CC,2004,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"300 Funston Ave, San Francisco, CA 94118, USA","300 Funston Ave, San Francisco, CA 94118, USA","300 Funston Ave, San Francisco, CA 94118, USA",37.78227145,-122.471586527151,,USA
Digital Curation Centre,64269,2004-09-22,2004-09-01,IT,,https://www.dcc.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Digital Curation Centre, University of Edinburgh, Argyle House, 3 Lady Lawson Street, Edinburgh, EH3 9DR, Scotland","University of Edinburgh, Edinburgh, EH8 9YL, UK","University of Edinburgh, Edinburgh, EH8 9YL, UK",55.94898305,-3.18643366004426,,United Kingdom
New York University,62624,2004-10-07,2004-10-01,university,,https://library.nyu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,"ARK, once EZID ARK",True,Anonyme,Anonyme,contact@email.com,,,,"70 Washington Square South, New York NY 10012, USA","70 Washington Square South, New York NY 10012, USA","70 Washington Square South, New York NY 10012, USA",40.72942865,-73.9972178045625,,USA
University of North Texas,67531,2004-10-07,2004-10-01,university,,https://digital.library.unt.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1506 W Highland St, Denton, TX 76203, USA","1506 W Highland St, Denton, TX 76203, USA","1506 W Highland St, Denton, TX 76203, USA",33.21014275,-97.149006313931,,USA
Portico Digital Preservation Service,27927,2004-12-10,2004-12-01,IT,,https://www.portico.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, New York, NY 10006, USA",40.7080916,-74.0129519,,USA
University of California Los Angeles,21198,2005-05-02,2005-05-01,university,,https://library.ucla.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"10740 Dickson Ct., Los Angeles, CA 90095, USA","10740 Dickson Ct., Los Angeles, CA 90095, USA","Dickson Ct, Los Angeles, CA 90095, USA",34.0090999,-117.8649746,,USA
Bibliothèque nationale de France,12148,2005-07-17,2005-07-01,library,national,http://ark.bnf.fr,False,NR,OP,CC,2005,http://ark.bnf.fr/ark:/12148/bpt6k2102478.policy,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Quai François Mauriac, 75706, Paris Cedex 13, France","Quai François Mauriac, 75706, Paris, France","Quai François Mauriac, 75706, Paris, France",48.8326011,2.3792453,75706,France
Princeton University,88435,2005-10-06,2005-10-01,university,,https://diglib.princeton.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"ARK, later EZID ARK",True,Anonyme,Anonyme,contact@email.com,,,,"Princeton NJ 08544, USA","Princeton NJ 08544, USA","Princeton NJ 08544, USA",40.3422888,-74.6588462,,USA
"Archives of Region of Västra Götaland and City of Gothenburg, Sweden",89901,2005-11-30,2005-11-01,university,,https://www.vgregion.se/politik/politisk-organisation/politiska-organ-a-o/arkivnamnden/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Otterhällegatan 5 411 18 Gothenburg, Sweden","Otterhällegatan 5 411 18 Gothenburg, Sweden","Otterhällegatan 5 411 18 Gothenburg, Sweden",57.7050438,11.9596538,,Sweden
Northwest Digital Archives,80444,2006-01-06,2006-01-01,archives,,https://archiveswest.orbiscascade.org/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"140 Glenn Terrell Mall, Pullman, WA 99164, USA","140 Glenn Terrell Mall, Pullman, WA 99164, USA","Pullman, WA 99164, USA",46.7304268,-117.173895,,USA
Emory University,25593,2006-01-12,2006-01-01,university,,https://pid.emory.edu/admin/login/?next=/admin/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"540 Ashbury Circle, Atlanta, GA 30322, USA","540 Ashbury Circle, Atlanta, GA 30307, USA","540 Asbury Circle, Atlanta, GA 30307, USA",33.79046215,-84.3228079322381,,USA
University of Kansas,25031,2006-03-29,2006-03-01,university,,https://www.lib.ku.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1425 Jayhawk Blvd, Lawrence, KS 66045, USA","1425 Jayhawk Blvd, Lawrence, KS 66045, USA","1425 Jayhawk Blvd, Lawrence, KS 66045, USA",38.95662085,-95.2447867177153,,USA
"Centre for Ecology & Hydrology, UK",17101,2006-08-20,2006-08-01,research,,https://www.ceh.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK","Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK","Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",51.60541805,-1.11170962411693,,United Kingdom
Google LLC,78319,2006-08-22,2006-08-01,IT,,https://www.google.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA","1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA","1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA",37.42248575,-122.085584566136,,USA
University of Calgary,65323,2007-06-05,2007-06-01,university,,https://library.ucalgary.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"410 University Ct NW, Calgary, AB T2N 1N4, Canada","410 University Ct NW, Calgary, AB T2N 1N4, Canada","410 University Ct NW, Calgary, AB T2N 1N4, Canada",51.07741185,-114.129794091216,,Canada
University of Chicago,61001,2007-09-11,2007-09-01,university,,https://www.lib.uchicago.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"5801 S Ellis Ave, Chicago, IL 60637, USA","5801 S Ellis Ave, Chicago, IL 60637, USA","5801 S Ellis Ave, Chicago, IL 60637, USA",41.7913505,-87.6008426943197,,USA
Metadata Terms,99152,2007-10-02,2007-10-01,IT,,http://n2t.net,False,NR,OP,(:unkn) unknown,2007,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
NAAN Reserved for use in Examples,12345,2007-10-02,2007-10-01,,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
Bibliothèque et Archives Nationales du Québec,52327,2007-10-18,2007-10-01,archives,,https://www.banq.qc.ca/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada","475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada","Boulevard de Maisonneuve, Montréal, QC, Canada",45.5669481,-73.5528482,,Canada
National Széchényi Library,39331,2008-03-05,2008-03-01,library,,http://www.oszk.hu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Budapest, Szent György tér 4-5-6., 1014, Hungary","Budapest, Szent György tér 4-5-6., 1014, Hungary","Budapest, Szent György tér 4, Hungary",47.4951032,19.0402612,,Hungary
Library and Archives Canada,26677,2008-05-15,2008-05-01,library,,https://collectionscanada.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"395 Wellington Street, Ottawa, ON K1A 0N4, CANADA","395 Wellington Street, Ottawa, ON K1A 0N4, CANADA","395 Wellington Street, Ottawa, ON, Canada",45.4198381,-75.708186161398,,Canada
Centre de Musique Baroque de Versailles,13681,2008-09-19,2008-09-01,research,,https://www.cmbv.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France",48.8008002,2.1336713,78000,France
